Rank,NOC,Gold,Silver,Bronze,Total,Year,NOC_original
44,FR Yugoslavia,1,1,1,3,2000,FR Yugoslavia
44,Latvia,1,1,1,3,2000,Latvia
46,New Zealand,1,0,3,4,2000,New Zealand
47,Estonia,1,0,2,3,2000,Estonia
47,Thailand,1,0,2,3,2000,Thailand
49,Croatia,1,0,1,2,2000,Croatia
50,Cameroon,1,0,0,1,2000,Cameroon
50,Colombia,1,0,0,1,2000,Colombia
50,Mozambique,1,0,0,1,2000,Mozambique
53,Brazil,0,6,6,12,2000,Brazil
54,Jamaica,0,6,3,9,2000,Jamaica
55,Belgium,0,2,3,5,2000,Belgium
55,South Africa,0,2,3,5,2000,South Africa
57,Argentina,0,2,2,4,2000,Argentina
58,Chinese Taipei,0,1,4,5,2000,Chinese Taipei
58,Morocco,0,1,4,5,2000,Morocco
60,North Korea,0,1,3,4,2000,North Korea
61,Moldova,0,1,1,2,2000,Moldova
61,Saudi Arabia,0,1,1,2,2000,Saudi Arabia
61,Trinidad and Tobago,0,1,1,2,2000,Trinidad and Tobago
64,Ireland,0,1,0,1,2000,Ireland
64,Sri Lanka,0,1,0,1,2000,Sri Lanka
64,Uruguay,0,1,0,1,2000,Uruguay
64,Vietnam,0,1,0,1,2000,Vietnam
68,Georgia,0,0,6,6,2000,Georgia
69,Costa Rica,0,0,2,2,2000,Costa Rica
69,Portugal,0,0,2,2,2000,Portugal
71,Armenia,0,0,1,1,2000,Armenia
71,Barbados,0,0,1,1,2000,Barbados
71,Chile,0,0,1,1,2000,Chile
71,Iceland,0,0,1,1,2000,Iceland
71,India,0,0,1,1,2000,India
71,Israel,0,0,1,1,2000,Israel
71,Kuwait,0,0,1,1,2000,Kuwait
71,Kyrgyzstan,0,0,1,1,2000,Kyrgyzstan
71,Macedonia,0,0,1,1,2000,Macedonia
71,Qatar,0,0,1,1,2000,Qatar
1,United States,36,39,26,101,2004,United States
2,China,32,17,14,63,2004,China
3,Russia,28,26,36,90,2004,Russia
4,Australia,17,16,17,50,2004,Australia
5,Japan,16,9,12,37,2004,Japan
6,Germany,13,16,20,49,2004,Germany
7,France,11,9,13,33,2004,France
8,Italy,10,11,11,32,2004,Italy
9,South Korea,9,12,9,30,2004,South Korea
10,Great Britain,9,9,12,30,2004,Great Britain
11,Cuba,9,7,11,27,2004,Cuba
12,Hungary,8,6,3,17,2004,Hungary
13,Ukraine,8,5,9,22,2004,Ukraine
14,Romania,8,5,6,19,2004,Romania
15,Greece,6,6,4,16,2004,Greece
16,Brazil,5,2,3,10,2004,Brazil
17,Norway,5,0,1,6,2004,Norway
18,Netherlands,4,9,9,22,2004,Netherlands
19,Sweden,4,2,1,7,2004,Sweden
20,Spain,3,11,6,20,2004,Spain
21,Canada,3,6,3,12,2004,Canada
22,Turkey,3,3,4,10,2004,Turkey
23,Poland,3,2,5,10,2004,Poland
24,New Zealand,3,2,0,5,2004,New Zealand
25,Thailand,3,1,4,8,2004,Thailand
26,Belarus,2,5,6,13,2004,Belarus
27,Austria,2,4,1,7,2004,Austria
28,Ethiopia,2,3,2,7,2004,Ethiopia
29,Iran,2,2,2,6,2004,Iran
29,Slovakia,2,2,2,6,2004,Slovakia
31,Chinese Taipei,2,2,1,5,2004,Chinese Taipei
32,Georgia,2,2,0,4,2004,Georgia
33,Bulgaria,2,1,9,12,2004,Bulgaria
34,Denmark,2,1,5,8,2004,Denmark
35,Jamaica,2,1,2,5,2004,Jamaica
35,Uzbekistan,2,1,2,5,2004,Uzbekistan
37,Morocco,2,1,0,3,2004,Morocco
38,Argentina,2,0,4,6,2004,Argentina
39,Chile,2,0,1,3,2004,Chile
40,Kazakhstan,1,4,3,8,2004,Kazakhstan
41,Kenya,1,4,2,7,2004,Kenya
42,Czech Republic,1,3,5,9,2004,Czech Republic
43,South Africa,1,3,2,6,2004,South Africa
44,Croatia,1,2,2,5,2004,Croatia
45,Lithuania,1,2,0,3,2004,Lithuania
46,Egypt,1,1,3,5,2004,Egypt
46,Switzerland,1,1,3,5,2004,Switzerland
48,Indonesia,1,1,2,4,2004,Indonesia
49,Zimbabwe,1,1,1,3,2004,Zimbabwe
50,Azerbaijan,1,0,4,5,2004,Azerbaijan
51,Belgium,1,0,2,3,2004,Belgium
52,Bahamas,1,0,1,2,2004,Bahamas
52,Israel,1,0,1,2,2004,Israel
54,Cameroon,1,0,0,1,2004,Cameroon
54,Dominican Republic,1,0,0,1,2004,Dominican Republic
54,United Arab Emirates,1,0,0,1,2004,United Arab Emirates
57,North Korea,0,4,1,5,2004,North Korea
58,Latvia,0,4,0,4,2004,Latvia
59,Mexico,0,3,1,4,2004,Mexico
60,Portugal,0,2,1,3,2004,Portugal
61,Finland,0,2,0,2,2004,Finland
61,Serbia and Montenegro,0,2,0,2,2004,Serbia and Montenegro
63,Slovenia,0,1,3,4,2004,Slovenia
64,Estonia,0,1,2,3,2004,Estonia
65,Hong Kong,0,1,0,1,2004,Hong Kong
65,India,0,1,0,1,2004,India
65,Paraguay,0,1,0,1,2004,Paraguay
68,Colombia,0,0,2,2,2004,Colombia
68,Nigeria,0,0,2,2,2004,Nigeria
68,Venezuela,0,0,2,2,2004,Venezuela
71,Eritrea,0,0,1,1,2004,Eritrea
71,Mongolia,0,0,1,1,2004,Mongolia
71,Syria,0,0,1,1,2004,Syria
71,Trinidad and Tobago,0,0,1,1,2004,Trinidad and Tobago
1,China,48,22,30,100,2008,China
2,United States,36,39,37,112,2008,United States
3,Russia,24,13,23,60,2008,Russia
4,Great Britain,19,13,19,51,2008,Great Britain
5,Germany,16,11,14,41,2008,Germany
6,Australia,14,15,17,46,2008,Australia
7,South Korea,13,11,8,32,2008,South Korea
8,Japan,9,8,8,25,2008,Japan
9,Italy,8,9,10,27,2008,Italy
10,France,7,16,20,43,2008,France
11,Netherlands,7,5,4,16,2008,Netherlands
12,Ukraine,7,4,11,22,2008,Ukraine
13,Kenya,6,4,6,16,2008,Kenya
14,Spain,5,11,3,19,2008,Spain
15,Jamaica,5,4,2,11,2008,Jamaica
16,Poland,4,5,2,11,2008,Poland
17,Ethiopia,4,2,1,7,2008,Ethiopia
18,Romania,4,1,4,9,2008,Romania
19,Cuba,3,10,17,30,2008,Cuba
20,Canada,3,9,8,20,2008,Canada
21,Hungary,3,5,2,10,2008,Hungary
22,Norway,3,5,1,9,2008,Norway
23,Brazil,3,4,10,17,2008,Brazil
24,Belarus,3,4,7,14,2008,Belarus
25,Czech Republic,3,3,1,7,2008,Czech Republic
26,Slovakia,3,3,0,6,2008,Slovakia
27,New Zealand,3,2,4,9,2008,New Zealand
28,Georgia,3,2,2,7,2008,Georgia
29,Kazakhstan,2,3,4,9,2008,Kazakhstan
30,Denmark,2,2,3,7,2008,Denmark
31,North Korea,2,2,2,6,2008,North Korea
31,Thailand,2,2,2,6,2008,Thailand
33,Mongolia,2,2,0,4,2008,Mongolia
34,Switzerland,2,1,4,7,2008,Switzerland
35,Argentina,2,0,4,6,2008,Argentina
36,Mexico,2,0,2,4,2008,Mexico
37,Belgium,2,0,0,2,2008,Belgium
38,Zimbabwe,1,3,0,4,2008,Zimbabwe
39,Slovenia,1,2,2,5,2008,Slovenia
40,Azerbaijan,1,1,4,6,2008,Azerbaijan
40,Indonesia,1,1,4,6,2008,Indonesia
42,Bulgaria,1,1,3,5,2008,Bulgaria
42,Turkey,1,1,3,5,2008,Turkey
44,Chinese Taipei,1,1,2,4,2008,Chinese Taipei
44,Finland,1,1,2,4,2008,Finland
46,Latvia,1,1,1,3,2008,Latvia
47,Dominican Republic,1,1,0,2,2008,Dominican Republic
47,Estonia,1,1,0,2,2008,Estonia
47,Portugal,1,1,0,2,2008,Portugal
47,Trinidad and Tobago,1,1,0,2,2008,Trinidad and Tobago
51,India,1,0,2,3,2008,India
52,Iran,1,0,1,2,2008,Iran
53,Cameroon,1,0,0,1,2008,Cameroon
53,Panama,1,0,0,1,2008,Panama
53,Tunisia,1,0,0,1,2008,Tunisia
56,Sweden,0,4,1,5,2008,Sweden
57,Lithuania,0,3,2,5,2008,Lithuania
57,Nigeria,0,3,2,5,2008,Nigeria
59,Croatia,0,2,3,5,2008,Croatia
60,Colombia,0,2,1,3,2008,Colombia
60,Greece,0,2,1,3,2008,Greece
62,Armenia,0,1,4,5,2008,Armenia
63,Uzbekistan,0,1,3,4,2008,Uzbekistan
64,Austria,0,1,2,3,2008,Austria
64,Ireland,0,1,2,3,2008,Ireland
64,Kyrgyzstan,0,1,2,3,2008,Kyrgyzstan
64,Serbia,0,1,2,3,2008,Serbia
68,Algeria,0,1,1,2,2008,Algeria
68,Bahamas,0,1,1,2,2008,Bahamas
68,Morocco,0,1,1,2,2008,Morocco
68,Tajikistan,0,1,1,2,2008,Tajikistan
72,Chile,0,1,0,1,2008,Chile
72,Ecuador,0,1,0,1,2008,Ecuador
72,Iceland,0,1,0,1,2008,Iceland
72,Malaysia,0,1,0,1,2008,Malaysia
72,Samoa,0,1,0,1,2008,Samoa
72,Singapore,0,1,0,1,2008,Singapore
72,South Africa,0,1,0,1,2008,South Africa
72,Sudan,0,1,0,1,2008,Sudan
72,Vietnam,0,1,0,1,2008,Vietnam
81,Egypt,0,0,2,2,2008,Egypt
82,Afghanistan,0,0,1,1,2008,Afghanistan
82,Israel,0,0,1,1,2008,Israel
82,Mauritius,0,0,1,1,2008,Mauritius
82,Moldova,0,0,1,1,2008,Moldova
82,Togo,0,0,1,1,2008,Togo
82,Venezuela,0,0,1,1,2008,Venezuela
1,United States,48,26,30,104,2012,United States
2,China,39,31,22,92,2012,China
3,Great Britain,29,18,18,65,2012,Great Britain
4,Russia,18,21,26,65,2012,Russia
5,South Korea,13,9,9,31,2012,South Korea
6,Germany,11,20,13,44,2012,Germany
7,France,11,11,13,35,2012,France
8,Australia,8,15,12,35,2012,Australia
9,Italy,8,9,11,28,2012,Italy
10,Hungary,8,4,6,18,2012,Hungary
11,Japan,7,14,17,38,2012,Japan
12,Iran,7,5,1,13,2012,Iran
13,Netherlands,6,6,8,20,2012,Netherlands
14,New Zealand,6,2,5,13,2012,New Zealand
15,Ukraine,5,4,10,19,2012,Ukraine
16,Cuba,5,3,7,15,2012,Cuba
17,Spain,4,10,6,20,2012,Spain
18,Jamaica,4,5,4,13,2012,Jamaica
19,Czech Republic,4,4,3,11,2012,Czech Republic
20,South Africa,4,1,1,6,2012,South Africa
21,North Korea,4,0,2,6,2012,North Korea
22,Brazil,3,5,9,17,2012,Brazil
23,Kazakhstan,3,2,6,11,2012,Kazakhstan
23,Poland,3,2,6,11,2012,Poland
25,Ethiopia,3,2,3,8,2012,Ethiopia
26,Croatia,3,1,2,6,2012,Croatia
27,Canada,2,6,10,18,2012,Canada
28,Belarus,2,5,3,10,2012,Belarus
29,Kenya,2,4,7,13,2012,Kenya
30,Denmark,2,4,3,9,2012,Denmark
31,Romania,2,4,1,7,2012,Romania
32,Azerbaijan,2,2,5,9,2012,Azerbaijan
33,Switzerland,2,2,0,4,2012,Switzerland
34,Norway,2,1,1,4,2012,Norway
35,Lithuania,2,0,3,5,2012,Lithuania
36,Tunisia,2,0,1,3,2012,Tunisia
37,Sweden,1,4,3,8,2012,Sweden
38,Colombia,1,3,5,9,2012,Colombia
39,Mexico,1,3,4,8,2012,Mexico
40,Georgia,1,2,3,6,2012,Georgia
41,Ireland,1,1,4,6,2012,Ireland
42,Argentina,1,1,2,4,2012,Argentina
42,Serbia,1,1,2,4,2012,Serbia
42,Slovenia,1,1,2,4,2012,Slovenia
42,Trinidad and Tobago,1,1,2,4,2012,Trinidad and Tobago
46,Turkey,1,1,1,3,2012,Turkey
47,Dominican Republic,1,1,0,2,2012,Dominican Republic
48,Chinese Taipei,1,0,1,2,2012,Chinese Taipei
48,Latvia,1,0,1,2,2012,Latvia
50,Algeria,1,0,0,1,2012,Algeria
50,Bahamas,1,0,0,1,2012,Bahamas
50,Bahrain,1,0,0,1,2012,Bahrain
50,Grenada,1,0,0,1,2012,Grenada
50,Uganda,1,0,0,1,2012,Uganda
50,Venezuela,1,0,0,1,2012,Venezuela
56,Egypt,0,3,1,4,2012,Egypt
57,India,0,2,4,6,2012,India
58,Mongolia,0,2,3,5,2012,Mongolia
59,Thailand,0,2,2,4,2012,Thailand
60,Bulgaria,0,2,1,3,2012,Bulgaria
60,Finland,0,2,1,3,2012,Finland
60,Indonesia,0,2,1,3,2012,Indonesia
63,Slovakia,0,1,3,4,2012,Slovakia
64,Belgium,0,1,2,3,2012,Belgium
65,Armenia,0,1,1,2,2012,Armenia
65,Estonia,0,1,1,2,2012,Estonia
65,Malaysia,0,1,1,2,2012,Malaysia
65,Puerto Rico,0,1,1,2,2012,Puerto Rico
65,Qatar,0,1,1,2,2012,Qatar
70,Botswana,0,1,0,1,2012,Botswana
70,Cyprus,0,1,0,1,2012,Cyprus
70,Gabon,0,1,0,1,2012,Gabon
70,Guatemala,0,1,0,1,2012,Guatemala
70,Montenegro,0,1,0,1,2012,Montenegro
70,Portugal,0,1,0,1,2012,Portugal
76,Uzbekistan,0,0,3,3,2012,Uzbekistan
77,Greece,0,0,2,2,2012,Greece
77,Singapore,0,0,2,2,2012,Singapore
79,Afghanistan,0,0,1,1,2012,Afghanistan
79,Cameroon,0,0,1,1,2012,Cameroon
79,Hong Kong,0,0,1,1,2012,Hong Kong
79,Kuwait,0,0,1,1,2012,Kuwait
79,Morocco,0,0,1,1,2012,Morocco
79,Saudi Arabia,0,0,1,1,2012,Saudi Arabia
79,Tajikistan,0,0,1,1,2012,Tajikistan
79,Vietnam,0,0,1,1,2012,Vietnam
1,United States,46,37,38,121,2016,United States
2,Great Britain,27,23,17,67,2016,Great Britain
3,China,26,18,26,70,2016,China
4,Russia,19,17,20,56,2016,Russia
5,Germany,17,10,15,42,2016,Germany
6,Japan,12,8,21,41,2016,Japan
7,France,10,18,14,42,2016,France
8,South Korea,9,3,9,21,2016,South Korea
9,Italy,8,12,8,28,2016,Italy
10,Australia,8,11,10,29,2016,Australia
11,Netherlands,8,7,4,19,2016,Netherlands
12,Hungary,8,3,4,15,2016,Hungary
13,Brazil,7,6,6,19,2016,Brazil
14,Spain,7,4,6,17,2016,Spain
15,Kenya,6,6,1,13,2016,Kenya
16,Jamaica,6,3,2,11,2016,Jamaica
17,Croatia,5,3,2,10,2016,Croatia
18,Cuba,5,2,4,11,2016,Cuba
19,New Zealand,4,9,5,18,2016,New Zealand
20,Canada,4,3,15,22,2016,Canada
21,Uzbekistan,4,2,7,13,2016,Uzbekistan
22,Colombia,3,2,3,8,2016,Colombia
23,Switzerland,3,2,2,7,2016,Switzerland
24,Iran,3,1,4,8,2016,Iran
25,Greece,3,1,2,6,2016,Greece
26,Argentina,3,1,0,4,2016,Argentina
27,Denmark,2,6,7,15,2016,Denmark
28,Sweden,2,6,3,11,2016,Sweden
29,South Africa,2,6,2,10,2016,South Africa
30,Kazakhstan,2,5,10,17,2016,Kazakhstan
31,Ukraine,2,5,4,11,2016,Ukraine
32,Serbia,2,4,2,8,2016,Serbia
33,Poland,2,3,6,11,2016,Poland
34,North Korea,2,3,2,7,2016,North Korea
35,Belgium,2,2,2,6,2016,Belgium
35,Thailand,2,2,2,6,2016,Thailand
37,Slovakia,2,2,0,4,2016,Slovakia
38,Georgia,2,1,4,7,2016,Georgia
39,Azerbaijan,1,7,10,18,2016,Azerbaijan
40,Belarus,1,4,4,9,2016,Belarus
41,Turkey,1,3,4,8,2016,Turkey
42,Armenia,1,3,0,4,2016,Armenia
43,Czech Republic,1,2,7,10,2016,Czech Republic
44,Ethiopia,1,2,5,8,2016,Ethiopia
45,Slovenia,1,2,1,4,2016,Slovenia
46,Indonesia,1,2,0,3,2016,Indonesia
47,Romania,1,1,2,4,2016,Romania
48,Bahrain,1,1,0,2,2016,Bahrain
48,Vietnam,1,1,0,2,2016,Vietnam
50,Chinese Taipei,1,0,2,3,2016,Chinese Taipei
51,Bahamas,1,0,1,2,2016,Bahamas
51,Independent Olympic Athletes,1,0,1,2,2016,Independent Olympic Athletes
51,Ivory Coast,1,0,1,2,2016,Ivory Coast
54,Fiji,1,0,0,1,2016,Fiji
54,Jordan,1,0,0,1,2016,Jordan
54,Kosovo,1,0,0,1,2016,Kosovo
54,Puerto Rico,1,0,0,1,2016,Puerto Rico
54,Singapore,1,0,0,1,2016,Singapore
54,Tajikistan,1,0,0,1,2016,Tajikistan
60,Malaysia,0,4,1,5,2016,Malaysia
61,Mexico,0,3,2,5,2016,Mexico
62,Venezuela,0,2,1,3,2016,Venezuela
63,Algeria,0,2,0,2,2016,Algeria
63,Ireland,0,2,0,2,2016,Ireland
65,Lithuania,0,1,3,4,2016,Lithuania
66,Bulgaria,0,1,2,3,2016,Bulgaria
67,India,0,1,1,2,2016,India
67,Mongolia,0,1,1,2,2016,Mongolia
69,Burundi,0,1,0,1,2016,Burundi
69,Grenada,0,1,0,1,2016,Grenada
69,Niger,0,1,0,1,2016,Niger
69,Philippines,0,1,0,1,2016,Philippines
69,Qatar,0,1,0,1,2016,Qatar
74,Norway,0,0,4,4,2016,Norway
75,Egypt,0,0,3,3,2016,Egypt
75,Tunisia,0,0,3,3,2016,Tunisia
77,Israel,0,0,2,2,2016,Israel
78,Austria,0,0,1,1,2016,Austria
78,Dominican Republic,0,0,1,1,2016,Dominican Republic
78,Estonia,0,0,1,1,2016,Estonia
78,Finland,0,0,1,1,2016,Finland
78,Morocco,0,0,1,1,2016,Morocco
78,Nigeria,0,0,1,1,2016,Nigeria
78,Portugal,0,0,1,1,2016,Portugal
78,Trinidad and Tobago,0,0,1,1,2016,Trinidad and Tobago
78,United Arab Emirates,0,0,1,1,2016,United Arab Emirates
1,United States,40,44,42,126,2024,United States
2,China,40,27,24,91,2024,China
3,Japan,20,12,13,45,2024,Japan
4,Australia,18,19,16,53,2024,Australia
5,France,16,26,22,64,2024,France
6,Netherlands,15,7,12,34,2024,Netherlands
7,Great Britain,14,22,29,65,2024,Great Britain
8,South Korea,13,9,10,32,2024,South Korea
9,Italy,12,13,15,40,2024,Italy
10,Germany,12,13,8,33,2024,Germany
11,New Zealand,10,7,3,20,2024,New Zealand
12,Canada,9,7,11,27,2024,Canada
13,Uzbekistan,8,2,3,13,2024,Uzbekistan
14,Hungary,6,7,6,19,2024,Hungary
15,Spain,5,4,9,18,2024,Spain
16,Sweden,4,4,3,11,2024,Sweden
17,Kenya,4,2,5,11,2024,Kenya
18,Norway,4,1,3,8,2024,Norway
19,Ireland,4,0,3,7,2024,Ireland
20,Brazil,3,7,10,20,2024,Brazil
21,Iran,3,6,3,12,2024,Iran
22,Ukraine,3,5,4,12,2024,Ukraine
23,Romania,3,4,2,9,2024,Romania
24,Georgia,3,3,1,7,2024,Georgia
25,Belgium,3,1,6,10,2024,Belgium
26,Bulgaria,3,1,3,7,2024,Bulgaria
27,Serbia,3,1,1,5,2024,Serbia
28,Czech Republic,3,0,2,5,2024,Czech Republic
29,Denmark,2,2,5,9,2024,Denmark
30,Azerbaijan,2,2,3,7,2024,Azerbaijan
30,Croatia,2,2,3,7,2024,Croatia
32,Cuba,2,1,6,9,2024,Cuba
33,Bahrain,2,1,1,4,2024,Bahrain
34,Slovenia,2,1,0,3,2024,Slovenia
35,Chinese Taipei,2,0,5,7,2024,Chinese Taipei
36,Austria,2,0,3,5,2024,Austria
37,Hong Kong,2,0,2,4,2024,Hong Kong
37,Philippines,2,0,2,4,2024,Philippines
39,Algeria,2,0,1,3,2024,Algeria
39,Indonesia,2,0,1,3,2024,Indonesia
41,Israel,1,5,1,7,2024,Israel
42,Poland,1,4,5,10,2024,Poland
43,Kazakhstan,1,3,3,7,2024,Kazakhstan
44,Jamaica,1,3,2,6,2024,Jamaica
44,South Africa,1,3,2,6,2024,South Africa
44,Thailand,1,3,2,6,2024,Thailand
47,Ethiopia,1,3,0,4,2024,Ethiopia
48,Switzerland,1,2,5,8,2024,Switzerland
49,Ecuador,1,2,2,5,2024,Ecuador
50,Portugal,1,2,1,4,2024,Portugal
51,Greece,1,1,6,8,2024,Greece
52,Argentina,1,1,1,3,2024,Argentina
52,Egypt,1,1,1,3,2024,Egypt
52,Tunisia,1,1,1,3,2024,Tunisia
55,Botswana,1,1,0,2,2024,Botswana
55,Chile,1,1,0,2,2024,Chile
55,Saint Lucia,1,1,0,2,2024,Saint Lucia
55,Uganda,1,1,0,2,2024,Uganda
59,Dominican Republic,1,0,2,3,2024,Dominican Republic
60,Guatemala,1,0,1,2,2024,Guatemala
60,Morocco,1,0,1,2,2024,Morocco
62,Dominica,1,0,0,1,2024,Dominica
62,Pakistan,1,0,0,1,2024,Pakistan
64,Turkey,0,3,5,8,2024,Turkey
65,Mexico,0,3,2,5,2024,Mexico
66,Armenia,0,3,1,4,2024,Armenia
66,Colombia,0,3,1,4,2024,Colombia
68,Kyrgyzstan,0,2,4,6,2024,Kyrgyzstan
68,North Korea,0,2,4,6,2024,North Korea
70,Lithuania,0,2,2,4,2024,Lithuania
71,India,0,1,5,6,2024,India
72,Moldova,0,1,3,4,2024,Moldova
73,Kosovo,0,1,1,2,2024,Kosovo
74,Cyprus,0,1,0,1,2024,Cyprus
74,Fiji,0,1,0,1,2024,Fiji
74,Jordan,0,1,0,1,2024,Jordan
74,Mongolia,0,1,0,1,2024,Mongolia
74,Panama,0,1,0,1,2024,Panama
79,Tajikistan,0,0,3,3,2024,Tajikistan
80,Albania,0,0,2,2,2024,Albania
80,Grenada,0,0,2,2,2024,Grenada
80,Malaysia,0,0,2,2,2024,Malaysia
80,Puerto Rico,0,0,2,2,2024,Puerto Rico
84,Cabo Verde,0,0,1,1,2024,Cabo Verde
84,Ivory Coast,0,0,1,1,2024,Ivory Coast
84,Peru,0,0,1,1,2024,Peru
84,Qatar,0,0,1,1,2024,Qatar
84,Refugee Olympic Team,0,0,1,1,2024,Refugee Olympic Team
84,Singapore,0,0,1,1,2024,Singapore
84,Slovakia,0,0,1,1,2024,Slovakia
84,Zambia,0,0,1,1,2024,Zambia
